ID;Title;URL;Image;Description;Price;Old price;Currency
IM_IREB1501M1;Велотренажер DF Advance;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_df_advance_im_ireb1501m1/;http://olimpvl.ru/upload/iblock/717/71720b6f7a474f3116d855a084e18384.jpg;"
   


	
		 Кол-во уровней нагрузки
	
	
		 -
	


	
		 Маховик, кг
	
	
		 12
	


	
		 Педальный узел
	
	
		 3-компонентный
	


	
		 инерционный механизм
	
	
		 -
	


	
		 Регулировка положения сидения
	
	
		 вертикаль/горизонталь
	


	
		 Регулировка положения руля
	
	
		 нет
	


	
		 Измерение пульса
	
	
		 есть
	


	
		 Показания консоли
	
	
		 время, дистанция, скорость, калории, обороты в мин., пульс, фитнес-тест (Recovery)&nbsp;&nbsp;
	


	
		 Кол-во программ
	
	
		 -
	


	
		 Транспортировочные ролики
	
	
		 есть
	


	
		 Размер в рабочем состоянии (Д*Ш*В)
	
	
		 101*53*134
	


	
		 Вес нетто, кг
	
	
		 34
	


	
		 Макс. вес пользователя
	
	
		 130
	


	
		 Питание
	
	
		 не&nbsp; требует подкл к сети
	


	
		 Гарантия
	
	
		 18 мес
	


 ";21 990;21 990;RUB
IM_IREB1306M1;Велотренажер DF Challenge;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_df_challenge_im_ireb1306m1/;http://olimpvl.ru/upload/iblock/729/72918e74b8620d5fc9c08b133d900242.jpg;"
   


	
		 Кол-во уровней нагрузки
	
	
		 -
	


	
		 Маховик, кг
	
	
		 10
	


	
		 Педальный узел
	
	
		 3-компонентный
	


	
		 инерционный механизм
	
	
		 -
	


	
		 Регулировка положения сидения
	
	
		 вертикаль/горизонталь
	


	
		 Регулировка положения руля
	
	
		 нет
	


	
		 Измерение пульса
	
	
		 есть
	


	
		 Показания консоли
	
	
		 время, дистанция, скорость, калории, обороты в мин., пульс, фитнес-тест (Recovery)&nbsp;&nbsp;
	


	
		 Кол-во программ
	
	
		 -
	


	
		 Транспортировочные ролики
	
	
		 есть
	


	
		 Размер в рабочем состоянии (Д*Ш*В)
	
	
		 107*50*138
	


	
		 Вес нетто, кг
	
	
		 32
	


	
		 Макс. вес пользователя
	
	
		 100
	


	
		 Питание
	
	
		 не&nbsp; требует подкл к сети
	


	
		 Гарантия
	
	
		 18 мес
	


 ";17 990;17 990;RUB
IM_IREB0911M3;Велотренажер DF X-bike R-lux;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_df_x_bike_r_lux_im_ireb0911m3/;http://olimpvl.ru/upload/iblock/9f2/9f2301c668c6493d0d753428e538b9da.jpg;"
   


	
		 Кол-во уровней нагрузки
	
	
		 -
	


	
		 Маховик, кг
	
	
		 2.5
	


	
		 Педальный узел
	
	
		 3-компонентный
	


	
		 инерционный механизм
	
	
		 -
	


	
		 Регулировка положения сидения
	
	
		 вертикаль
	


	
		 Регулировка положения руля
	
	
		 нет
	


	
		 Измерение пульса
	
	
		 есть
	


	
		 Показания консоли
	
	
		 время, дистанция, скорость, калории, обороты в мин., пульс, фитнес-тест (Recovery)&nbsp;&nbsp;
	


	
		 Кол-во программ
	
	
		 -
	


	
		 Транспортировочные ролики
	
	
		 есть
	


	
		 Размер в рабочем состоянии (Д*Ш*В)
	
	
		 117*42.5*115
	


	
		 Вес нетто, кг
	
	
		 17
	


	
		 Макс. вес пользователя
	
	
		 100
	


	
		 Питание
	
	
		 не&nbsp; требует подкл к сети
	


	
		 Гарантия
	
	
		 18 мес
	


 ";10 990;10 990;RUB
IM_IREB1211M1;Велотренажер DF X-bike Rocksta;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_df_x_bike_rocksta_im_ireb1211m1/;http://olimpvl.ru/upload/iblock/b71/b71d389c0d3a29efbf0f2508e15192ff.jpg;"
   


	
		 Кол-во уровней нагрузки
	
	
		 -
	


	
		 Маховик, кг
	
	
		 2
	


	
		 Педальный узел
	
	
		 3-компонентный
	


	
		 инерционный механизм
	
	
		 -
	


	
		 Регулировка положения сидения
	
	
		 вертикаль
	


	
		 Регулировка положения руля
	
	
		 нет
	


	
		 Измерение пульса
	
	
		 есть
	


	
		 Показания консоли
	
	
		 время, дистанция, скорость, калории, обороты в мин., пульс, фитнес-тест (Recovery)&nbsp;&nbsp;
	


	
		 Кол-во программ
	
	
		 -
	


	
		 Транспортировочные ролики
	
	
		 есть
	


	
		 Размер в рабочем состоянии (Д*Ш*В)
	
	
		 80*42.5*112
	


	
		 Вес нетто, кг
	
	
		 16
	


	
		 Макс. вес пользователя
	
	
		 100
	


	
		 Питание
	
	
		 не&nbsp; требует подкл к сети
	


	
		 Гарантия
	
	
		 18 мес
	


 ";9 990;9 990;RUB
HF_HB-8117HP;Велотренажер HOUSE FIT HB-8117HP;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_house_fit_hb_8117hp_hf_hb_8117hp/;http://olimpvl.ru/upload/iblock/a2a/a2ad2620a4d1a785775cd890b3b82c4e.jpg;"магнитная 8-уровневая
 система нагрузки
 Маховик, кг: 6
 Максимальный вес пользователя, кг: 120
 Габариты (Дл х Шр х Вс), см: 110 х 53 х 138
 Комфортабельное седло, регулируемое по вертикали
 Датчики измерения пульса на руле
 Широкие удобные педали с фиксирующими ремнями
 Держатель для бутылки
 Транспортировочные ролики
 
 Компьютер:
 Один 5.3-дюймовый ЖК-дисплей
 
 Функции:
 -скорость
 -время
 -расстояние
 -частота пульса
 -расход калорий
 -сканирование
 -одометр
 
 Упаковка:
 Размер упаковки,м: Дл.1,0хШир.0,70хВыс.0,3
 Объем, м3:0,21
Вес, кг: 40&nbsp;";19 290;19 290;RUB
HF_HB-8203HP;Велотренажер HOUSE FIT HB-8203HP;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_house_fit_hb_8203hp_hf_hb_8203hp/;http://olimpvl.ru/upload/resize_cache/iblock/9db/680_398_1/9dbe1fb07fb96136699da8c64f832240.jpg;"Тип вертикальный велоэргометр
Максимальный вес пользователя 150 кг
Система нагрузки магнитная
Вес маховика 7 кг
Возможность профессионального использования нет
Возможность тренировки рук нет
Количество уровней нагрузки 8
Показания текущая скорость, расход энергии, пройденная дистанция, частота вращения педалей
Измерение пульса есть, кардиодатчик на руле (встроенный датчик)
Количество программ тренировки 12
Возможность программирования тренировки нет
Регулировка сидения по вертикали, по горизонтали
Консоль LCD-дисплей
Особенности конструкции регулировка угла наклона руля, ремешки на педалях, транспортировочные ролики/колеса, компенсаторы неровности пола
Размер (ДхШхВ) 93x60x148 см
Размеры транспортные габариты (ДхШхВ) 103х64х29 см
Вес 33 кг
Гарантия 18 мес. ";22 890;22 890;RUB
HF_HB-8230HP;Велотренажер HOUSE FIT HB-8230HP;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_house_fit_hb_8230hp_hf_hb_8230hp/;http://olimpvl.ru/upload/iblock/b0c/b0c405d9867c3c1970cc5e918f48cdcb.jpg;"Тип вертикальный велоэргометр
Максимальный вес пользователя 150 кг
Система нагрузки электромагнитная
Вес маховика 7 кг
Возможность профессионального использования нет
Возможность тренировки рук нет
Количество уровней нагрузки 24
Датчики и показатели
Показания текущая скорость, расход энергии, пройденная дистанция, частота вращения педалей
Измерение пульса есть, кардиодатчик на руле (встроенный датчик)
Программы
Количество программ тренировки 12
Возможность программирования тренировки есть
Встроенные программы фитнес-оценка, постоянного пульса, тренировка по времени, тренировка по расстоянию
Количество пульсозависимых программ 3
Оценка BodyFat есть
Дополнительная информация
Регулировка сидения по вертикали, по горизонтали
Особенности конструкции ремешки на педалях, транспортировочные ролики/колеса, компенсаторы неровности пола
Размеры (ДхШхВ) 105x60x140 см
Вес 37 кг";26 890;26 890;RUB
HF_HB-8242HP;Велотренажер HOUSE FIT HB-8242HP;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_house_fit_hb_8242hp_hf_hb_8242hp/;http://olimpvl.ru/upload/resize_cache/iblock/3be/680_398_1/3be9a11957eb02103a5d04ac91e6279e.jpg;Тип:вертикальныйСистема нагрузки:магнитнаяВес пользователя:до 110 кгУровней нагрузки:8 штПитание:аккумуляторГабариты:129х98x51 см ;15 299;15 299;RUB
HF_HB-8268HPM;Велотренажер HOUSE FIT HB-8268HPM;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_house_fit_hb_8268hpm_hf_hb_8268hpm/;http://olimpvl.ru/upload/iblock/6db/6dbcc907991cc85834abefc7f119843c.jpg;"
   


	
		 Общие характеристики
	
	
	


	
		 Тип
	
	
		 вертикальный велоэргометр
	


	
		 Максимальный вес пользователя
	
	
		 150 кг
	


	
		 Система нагрузки
	
	
		 электромагнитная
	


	
		 Вес маховика
	
	
		 9 кг
	


	
		 Возможность профессионального использования
	
	
		 нет
	


	
		 Возможность тренировки рук
	
	
		 нет
	


	
	
	
	


	
		 Датчики и показатели
	
	
	


	
		 Показания
	
	
		 текущая скорость, расход энергии, пройденная дистанция, частота вращения педалей
	


	
		 Измерение пульса
	
	
		 есть, кардиодатчик на руле (встроенный датчик)
	


	
	
	
	


	
		 Программы
	
	
	


	
		 Количество программ тренировки
	
	
		 20
	


	
		 Возможность программирования тренировки
	
	
		 есть
	


	
		 Встроенные программы
	
	
		 фитнес-оценка, постоянного пульса, постоянного усилия, тренировка по времени, тренировка по расстоянию
	


	
		 Оценка BodyFat
	
	
		 есть
	


	
	
	
	


	
		 Дополнительная информация
	
	
	


	
		 Регулировка сидения
	
	
		 по вертикали, по горизонтали
	


	
		 Особенности конструкции
	
	
		 регулировка угла наклона руля, ремешки на педалях, подставка для стакана, транспортировочные ролики/колеса, компенсаторы неровности пола
	


	
		 Размеры (ДхШхВ)
	
	
		 112x56x155 см
	


";31 490;31 490;RUB
HF_LOTUS-B1.0;Велотренажер HOUSE FIT Lotus B1.0;http://olimpvl.ru/catalog/trenazhery_i_fitnes/kardiotrenazhery/velotrenazhery/velotrenazher_house_fit_lotus_b1_0_hf_lotus_b1_0/;http://olimpvl.ru/upload/iblock/1b9/1b95228f9efedbd3e0128ee9199add1b.jpg;"

 •Технология Hi-tech магнитной 8-уровневой системы нагрузки
 •Мощная, прочная конструкция
 •Педали с фиксирующими ремнями
 •Сидение, регулируемое как по вертикали, так и горизонтали
 •Датчики измерения пульса на руле
 •Компьютер: один ЖКД
 •Функции: время, скорость, расстояние, потраченные калории, пульс, одометр, режим сканирования
 •Габариты: длина 104 х ширина 49 х высота 130 см
 •Вес тренажера: 26 кг
 •Максимальный вес пользователя: 120 кг
 •Маховик 6кг

 Упаковка:88*25*66 см


";14 990;14 990;RUB
